Ticker1,Ticker2,GNNSimilarity,EmbeddingDistance,WasTrained,ActualPnL,ActualWinRate,ActualTrades
PFE,XBI,-0.048699215054512024,0.6777258515357971,False,,,
MRK,XBI,-0.05056329444050789,0.5989218354225159,False,,,
JNJ,XBI,-0.05113091319799423,0.5860915184020996,False,,,
REGN,RXL,-0.05178169533610344,0.5245530009269714,False,,,
IBB,SRPT,-0.0889398530125618,2.4624929428100586,False,,,
ABBV,IBB,-0.09524344652891159,0.8354309797286987,False,,,
ABBV,VHT,-0.09641754627227783,0.8469777703285217,False,,,
JNJ,REGN,-0.09933564811944962,0.7259101271629333,False,,,
REGN,VEEV,-0.09985131770372391,0.6713148951530457,False,,,
REGN,TMO,-0.10552182048559189,0.6943155527114868,False,,,
MRK,REGN,-0.10933860391378403,0.7505269646644592,False,,,
ABBV,XLV,-0.11556895077228546,0.877197265625,False,,,
DXCM,IBB,-0.11692273616790771,1.6957863569259644,False,,,
IBB,ILMN,-0.1181938499212265,1.628125786781311,False,,,
ACAD,REGN,-0.1268584132194519,0.7392428517341614,False,,,
ABBV,RXL,-0.12803465127944946,0.8890547752380371,False,,,
